Employee Name / Date,Jun 29 2020,Jun 30 2020,Jul 01 2020,Jul 02 2020,Jul 03 2020,Jul 04 2020,Jul 05 2020
Jerrod Tate,5.2,5,5.1,4.9,5,4.7, 
Bianca Wright,5.4,8.2,8,8.1,8, , 
Wayne Payne,6.5,8,9,8,8, , 
Drew Hudson,7,7,7,7,6.2, , 
Archie Klein,7, ,6.2, , ,6,6
Rosella Dunlap,7.9,8.8,8.1,7.9,9.8, , 
Latonya Small,8,7,7,8,8, ,3
Ezekiel Harrington,8,6.4,7.7,8.2,7.7, , 
Viola Hayes,8,8,8,8,8, , 
Lawerence Proctor,8,6.4,8,8.2,7.7, , 
Myrna Johns,8,8,8,8,8,8,8
Barbra Pearson,8,6.4,8,8.2,7.7, , 
Ola Potts,8,8,8,8,8, , 
Joan Sutton,8,8,8,8,8, , 
Antonia Sandoval,8,6.4,8,8.2,7.7, , 
Celia Cantrell,8,6.4,8,8.2,7.7, , 
Lonnie Perez,8,8,8,8,8,8,8
Marquita Young,8,8,8,8,8,8,8
Imelda Norris,8,6.4,8,8.2,7.7, , 
Houston Mccormick,8,6.4,8,8.2,7.7, , 
Jami Keller,8,8,8,8,8,8,8
Duane Crawford,8,8,8,8,8,8,8
Luella Hodges,8,8,8,8,8,8,8
Guadalupe Murray,8,6.4,8,8.2,7.7, , 
Stella Mccall,8,8,8,8,8,8,8
Flossie Sosa,8,6.4,8,8.2,7.7, , 
Timmy Bender,8,8,8,8,8, , 
Giuseppe Simon,8,8,8,8,8,8,8
Claudio Le,8,8,8,8,8,8,8
Sterling Lutz,8,6.4,8,8.2,7.7, , 
Ross Hendrix,8,8,8,8, ,8, 
Alva Singleton,8,8,8,8,8,8,8
Carmen Wade,8,6.4,8,8.2,7.7, , 
Lelia Brooks,8,8,8,8,8, , 
Bettie Parks,8,8,8,8.1,8, , 
King Sanders,8,8,8,8,8,8,8
Conrad Jackson,8,8,8,8.1,8, , 
Jennifer Larsen,8,8,8,8,8, , 
Sheri Zuniga,8,8,8,8,8,8,8
Rodolfo Combs,8,8,8,8,8, , 
Bryant Hammond,8,8,8,8,8, , 
Isaac Nelson,8,7,7,8,7,1, 
Heath Mcdaniel,8,6,7,8,8, , 
Randal Melendez,8,8,8,8,8,8,8
Luann Cooper,8,8,8,8.1,8, , 
Fannie Lara, ,6.4,8,8.2,7.7, , 
Katherine Robinson, , ,1, , , , 
Jamaal Dawson, , ,5.1,2.8, , , 
Mikel Swanson, , ,5.1,2.8, , , 
Adan Cain, , ,5.1,2.8, , , 
 
